[2024-05-12 22:48:02.388] [Sebastians-MacBook-Pro-4.local] [info] ********** Starting Logs for Quad Tree Device **********
[2024-05-12 22:48:02.397] [Sebastians-MacBook-Pro-4.local] [info] URL: http://localhost:8080/get_zones/data/0.000000,0.000000,20.000000,16.000000
[2024-05-12 22:48:02.467] [Sebastians-MacBook-Pro-4.local] [info] Data received: [{"coordinates":[1,1,3,3],"id":1,"shape":"rectangle"},{"coordinates":[4,9,5,10],"id":2,"shape":"rectangle"},{"coordinates":[9,7,11,8],"id":3,"shape":"rectangle"},{"coordinates":[6,12,8,14],"id":4,"shape":"rectangle"},{"coordinates":[13,10,16,13],"id":5,"shape":"rectangle"},{"coordinates":[15,4,16,7],"id":6,"shape":"rectangle"},{"coordinates":[1,1,1],"id":7,"shape":"circle"},{"coordinates":[19,0,19.5,1,20,0],"id":8,"shape":"triangle"}]

[2024-05-12 22:48:02.467] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 1
[2024-05-12 22:48:02.468] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 2
[2024-05-12 22:48:02.468] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 3
[2024-05-12 22:48:02.468] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 4
[2024-05-12 22:48:02.468] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 5
[2024-05-12 22:48:02.468] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 6
[2024-05-12 22:48:02.468] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 7
[2024-05-12 22:48:02.468] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 8
[2024-05-12 22:49:01.906] [Sebastians-MacBook-Pro-4.local] [info] ********** Starting Logs for Quad Tree Device **********
[2024-05-12 22:49:01.911] [Sebastians-MacBook-Pro-4.local] [info] URL: http://localhost:8080/get_zones/data/0.000000,0.000000,20.000000,16.000000
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [info] Data received: [{"coordinates":[1,1,3,3],"id":1,"shape":"rectangle"},{"coordinates":[4,9,5,10],"id":2,"shape":"rectangle"},{"coordinates":[9,7,11,8],"id":3,"shape":"rectangle"},{"coordinates":[6,12,8,14],"id":4,"shape":"rectangle"},{"coordinates":[13,10,16,13],"id":5,"shape":"rectangle"},{"coordinates":[15,4,16,7],"id":6,"shape":"rectangle"},{"coordinates":[1,1,1],"id":7,"shape":"circle"},{"coordinates":[19,0,19.5,1,20,0],"id":8,"shape":"triangle"}]

[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 1 Quadrant:2
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 1 Quadrant:2
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 1 Quadrant:-1
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 1
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 2 Quadrant:1
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 2 Quadrant:2
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 2 Quadrant:3
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 2 Quadrant:0
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 2 Quadrant:-1
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 2
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 3 Quadrant:-1
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 3
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 4 Quadrant:1
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 4 Quadrant:0
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 4 Quadrant:-1
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 4
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 5 Quadrant:0
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 5 Quadrant:-1
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 5
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 6 Quadrant:3
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 6 Quadrant:0
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 6 Quadrant:-1
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 6
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 7 Quadrant:-1
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 7
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 8 Quadrant:3
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 8 Quadrant:3
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 8 Quadrant:3
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 8 Quadrant:3
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [debug] Zone: 8 Quadrant:-1
[2024-05-12 22:49:01.940] [Sebastians-MacBook-Pro-4.local] [info] Inserting zone 8
